"simul_idx","up_dw","low_dw","up_t_test","low_t_test","up_catoni","low_catoni","up_cheby","low_cheby"
463,4.3871098778998,1.79179724135858,3.63648472583927,2.55658313133643,3.91465372635695,2.26454319246873,4.09653392858785,2.09653392858785
464,4.12703678210817,1.50661566309988,3.67777875371606,2.26476732207106,3.7304228424775,2.08031230858928,3.97127303789356,1.97127303789356
465,3.9089778053727,1.69127548410421,3.36128793910216,2.45808532933768,3.74242236809661,2.09231183420839,3.90968663421992,1.90968663421992
466,4.34032811157056,1.86727464405623,3.61375011726481,2.74467993688994,4.00366807360361,2.3535575397154,4.17921502707738,2.17921502707738
467,4.01051609742063,1.32565104745262,3.26500228925144,2.04766081788775,3.48143799733069,1.83132746344248,3.65633155356959,1.65633155356959
468,4.22323762653595,1.82835908997674,3.46776764632762,2.51926746746342,3.81341745292799,2.16330691903978,3.99351755689552,1.99351755689552
469,4.66791511993012,1.98179418716016,3.98111707412935,2.53764347814738,4.10844378649205,2.45833325260384,4.25938027613836,2.25938027613836
470,4.33409137809183,1.73115659578244,4.93158897709066,2.09319102211699,4.00599521414445,2.35588468025624,4.51238999960382,2.51238999960382
471,3.38722219562318,1.00836436944487,2.74198973107153,1.85355411881722,3.12449887533412,1.47438834144591,3.29777192494438,1.29777192494438
472,4.18676256747036,1.51500128015288,3.44080428905402,2.23012431531931,3.66000601624035,2.00989548235213,3.83546430218666,1.83546430218666
473,3.58075350030182,1.480722222986,2.94527064402981,2.09636282194611,3.34117543035865,1.69106489647043,3.52081673298796,1.52081673298796
474,4.13973950349699,1.91163456935467,3.60846884251886,2.67716250177047,3.98090010960513,2.33078957571692,4.14281567214466,2.14281567214466
475,4.35898478688527,1.79985484043035,4.50633980166024,2.4309452345208,4.13125924476762,2.4811487108794,4.46864251809052,2.46864251809052
476,3.72103018669146,1.41081604589983,3.71516603636722,-0.630928042630385,3.0849097409587,1.43479920707049,2.54211899686842,0.542118996868416
477,4.66467904001122,1.98028331652314,3.89162221900014,2.77518814520113,4.15422771072993,2.50411717684172,4.33340518210063,2.33340518210063
478,4.50536016344033,1.8309592808648,3.82046493952005,2.55320123493589,3.99665319937725,2.34654266548903,4.18683308722797,2.18683308722797
479,3.90117798376821,1.72047789322918,3.43419430297559,2.22692372358795,3.70741034614593,2.05729981225771,3.83055901328177,1.83055901328177
