"","simul_idx","up_dw","low_dw","up_dw_x1_to_xn","low_dw_x1_to_xn","up_dw_x1_to_xn_tails","low_dw_x1_to_xn_tails","up_t_test","low_t_test","up_anderson","low_anderson","up_cheby","low_cheby","up_emp_bern","low_emp_bern","up_hoeffding","low_hoeffding","up_PI_emp_bern","low_PI_emp_bern","up_PI_hedged","low_PI_hedged"
"38",38,0.703652122946699,0.332883861676164,0.703630625619211,0.332932179577927,0.800004573134223,0.332932179577927,0.639311825392621,0.40100758083482,0.693065316301741,0.327232292462121,0.792754659176409,0.0741781793464583,0.888860612459527,0.151458793767914,0.693241541373949,0.347077864853492,0.743811999611767,0.305977915640029,0.68,0.35
"39",39,0.721274524219772,0.351257426282729,0.721242367785399,0.351276488213489,0.817572710751972,0.351276488213489,0.658831646968227,0.421135561343772,0.712904769819514,0.347057674078988,0.80518927316675,0.0947834004265816,0.908191870198924,0.171775338113074,0.713065442416228,0.366901765895771,0.75310448144244,0.316208642048125,0.7,0.38
"40",40,0.531672161409405,0.177299747878142,0.531628044988716,0.177319639733514,0.627959624916044,0.177319639733514,0.453457995149697,0.227411429797123,0.51339808347313,0.147581394633179,0.67172913439997,-0.104337946944287,0.699206204954276,-0.0183367800074564,0.513516550733638,0.167352874213181,0.556716617136746,0.137151905174655,0.51,0.2
"41",41,0.721206065750949,0.351129635973239,0.721176264598624,0.351146901762604,0.817503930507087,0.351146901762604,0.658803517241141,0.420950597224139,0.712812845808584,0.346936088651187,0.805122977502145,0.0946721178855894,0.908212368047768,0.171541746417513,0.712958895492869,0.366795218972412,0.753453495175846,0.315650745366124,0.7,0.38
"42",42,0.789728512145745,0.427845862533017,0.789724213781727,0.427889940121744,0.886091841324139,0.427889940121744,0.735300981557229,0.503699008553248,0.79242323266786,0.426519093574215,0.852945488895797,0.179554502862934,0.982771683495058,0.256228306615419,0.792581833315467,0.44641815679501,0.837112233587035,0.409399079715036,0.76,0.45
"43",43,0.667432473258422,0.296689946580468,0.667413087516836,0.296726472714892,0.763769459997677,0.296726472714892,0.599304036228884,0.361103355640431,0.653124461969593,0.2872920765488,0.767102303693117,0.0332371895313117,0.848820712578867,0.111586679290448,0.653285534194886,0.307121857674429,0.694555452888191,0.256382962977401,0.65,0.32
"44",44,0.721299852484284,0.351154270140893,0.721291651123544,0.351164433903637,0.817608731819717,0.351164433903637,0.65887375312457,0.421016357159359,0.71287351047574,0.346961017140103,0.805165287862412,0.0947431373741964,0.908283991729548,0.171606118554382,0.713026893402193,0.366863216881736,0.753097653941657,0.316121242421168,0.7,0.38
"45",45,0.72122633024736,0.351132858045989,0.721185736125772,0.351150333396694,0.817513714374836,0.351150333396694,0.658789242893421,0.420983423831731,0.712857276541345,0.346966539759743,0.805128749532016,0.0946818060722774,0.90818348972675,0.171589176998402,0.712968171622805,0.366804495102348,0.752386995959504,0.316698445633229,0.7,0.37
"46",46,0.738612143798822,0.369748836759125,0.738594007033569,0.369767098727028,0.834923157695873,0.369767098727028,0.678124425137727,0.441227969281697,0.732637856262733,0.366739729699472,0.817340510067552,0.115453151948634,0.927236717690416,0.192115676729007,0.73275803546994,0.386594358949483,0.7814676363049,0.346587278164483,0.71,0.39
"47",47,0.531891659518816,0.177471031449594,0.531863911962736,0.177488351563815,0.628191658839654,0.177488351563815,0.453653912793406,0.227638622442036,0.513620421872705,0.147808436174605,0.671879643104488,-0.104135863741619,0.699392425569986,-0.0180998903345438,0.51372810587795,0.167564429357493,0.556024124127674,0.138278035545144,0.51,0.2
